交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
210,空头进场,2023-05-11 10:02,①挂空,2025.08,1,2025.08,0.76,0.04,3.24,0.16,0,0.00,196.01,1.96
211,多头出场,2023-05-16 18:02,❌止损,1997.05,1,2017.56,-20.51,-1.02,5.03,0.25,-20.51,-1.02,175.5,1.76
211,多头进场,2023-05-12 16:02,①挂多,2017.56,1,2017.56,-20.51,-1.02,5.03,0.25,-20.51,-1.02,175.5,1.76
212,空头出场,2023-05-17 17:02,✅移动止盈,1978.31,1,1983.7,5.39,0.27,8.66,0.44,0,0.00,180.89,1.81
212,空头进场,2023-05-17 16:02,①挂空,1983.7,1,1983.7,5.39,0.27,8.66,0.44,0,0.00,180.89,1.81
213,空头出场,2023-05-18 16:02,✅移动止盈,1967.28,1,1972.2,4.92,0.25,5.91,0.30,0,0.00,185.81,1.86
213,空头进场,2023-05-18 15:02,①挂空,1972.2,1,1972.2,4.92,0.25,5.91,0.30,0,0.00,185.81,1.86
214,多头出场,2023-05-19 10:02,✅移动止盈,1965.18,1,1958.95,6.23,0.32,9.77,0.50,0,0.00,192.04,1.92
214,多头进场,2023-05-19 05:02,①挂多,1958.95,1,1958.95,6.23,0.32,9.77,0.50,0,0.00,192.04,1.92
215,空头出场,2023-05-19 16:02,✅移动止盈,1962.28,1,1960.62,-1.66,-0.08,0.29,0.01,-1.66,-0.08,190.38,1.90
215,空头进场,2023-05-19 15:02,①挂空,1960.62,1,1960.62,-1.66,-0.08,0.29,0.01,-1.66,-0.08,190.38,1.90
216,空头出场,2023-05-19 18:02,✅移动止盈,1958.82,1,1960.62,1.8,0.09,3.4,0.17,0,0.00,192.18,1.92
216,空头进场,2023-05-19 17:02,①挂空,1960.62,1,1960.62,1.8,0.09,3.4,0.17,0,0.00,192.18,1.92
217,空头出场,2023-05-23 11:02,✅移动止盈,1956.58,1,1957.22,0.64,0.03,1.82,0.09,0,0.00,192.82,1.93
217,空头进场,2023-05-23 10:02,①挂空,1957.22,1,1957.22,0.64,0.03,1.82,0.09,0,0.00,192.82,1.93
218,空头出场,2023-05-23 13:02,✅移动止盈,1956.37,1,1957.22,0.85,0.04,1.07,0.05,0,0.00,193.67,1.94
218,空头进场,2023-05-23 12:02,①挂空,1957.22,1,1957.22,0.85,0.04,1.07,0.05,0,0.00,193.67,1.94
219,多头出场,2023-05-30 08:02,❌止损,1932.96,1,1984.16,-51.2,-2.58,1.08,0.05,-51.2,-2.58,142.47,1.42
219,多头进场,2023-05-24 15:02,①挂多,1984.16,1,1984.16,-51.2,-2.58,1.08,0.05,-51.2,-2.58,142.47,1.42
220,多头出场,2023-05-31 17:02,✅移动止盈,1963.28,1,1965.38,-2.1,-0.11,8.32,0.42,-2.1,-0.11,140.37,1.40
220,多头进场,2023-05-31 16:02,①挂多,1965.38,1,1965.38,-2.1,-0.11,8.32,0.42,-2.1,-0.11,140.37,1.40
221,空头出场,2023-06-01 09:02,✅移动止盈,1962.35,1,1962.44,0.09,0.00,0.14,0.01,-3.42,-0.17,140.46,1.40
221,空头进场,2023-06-01 08:02,①挂空,1962.44,1,1962.44,0.09,0.00,0.14,0.01,-3.42,-0.17,140.46,1.40
222,多头出场,2023-06-02 19:02,❌止损,1954.12,1,1983.15,-29.03,-1.46,0.28,0.01,-29.03,-1.46,111.43,1.11
222,多头进场,2023-06-02 06:02,①挂多,1983.15,1,1983.15,-29.03,-1.46,0.28,0.01,-29.03,-1.46,111.43,1.11
223,多头出场,2023-06-05 18:02,✅移动止盈,1957.52,1,1946,11.52,0.59,15.94,0.82,0,0.00,122.95,1.23
223,多头进场,2023-06-05 16:02,①挂多,1946,1,1946,11.52,0.59,15.94,0.82,0,0.00,122.95,1.23
224,多头出场,2023-06-06 16:02,①挂空,1956.82,1,1964.6,-7.78,-0.40,0.08,0.00,-7.78,-0.40,115.17,1.15
224,多头进场,2023-06-06 16:02,①挂多,1964.6,1,1964.6,-7.78,-0.40,0.08,0.00,-7.78,-0.40,115.17,1.15
225,多头出场,2023-06-13 21:02,❌止损,1940.82,1,1970.5,-29.68,-1.51,2.5,0.13,-29.68,-1.51,85.49,0.85
225,多头进场,2023-06-09 15:02,①挂多,1970.5,1,1970.5,-29.68,-1.51,2.5,0.13,-29.68,-1.51,85.49,0.85
226,空头出场,2023-06-14 21:02,✅移动止盈,1946.6,1,1945.82,-0.78,-0.04,1.86,0.10,-0.78,-0.04,84.71,0.85
226,空头进场,2023-06-14 20:02,①挂空,1945.82,1,1945.82,-0.78,-0.04,1.86,0.10,-0.78,-0.04,84.71,0.85
227,空头出场,2023-06-14 23:02,✅移动止盈,1945.69,1,1945.82,0.13,0.01,2.23,0.11,0,0.00,84.84,0.85
227,空头进场,2023-06-14 22:02,①挂空,1945.82,1,1945.82,0.13,0.01,2.23,0.11,0,0.00,84.84,0.85
228,空头出场,2023-06-16 20:02,✅移动止盈,1955.78,1,1954.69,-1.09,-0.06,0.69,0.04,-1.09,-0.06,83.75,0.84
228,空头进场,2023-06-16 19:02,①挂空,1954.69,1,1954.69,-1.09,-0.06,0.69,0.04,-1.09,-0.06,83.75,0.84
229,空头出场,2023-06-20 16:02,✅移动止盈,1943.02,1,1945.19,2.17,0.11,2.47,0.13,0,0.00,85.92,0.86
229,空头进场,2023-06-20 15:02,①挂空,1945.19,1,1945.19,2.17,0.11,2.47,0.13,0,0.00,85.92,0.86
230,空头出场,2023-06-21 16:02,✅移动止盈,1928.57,1,1929.83,1.26,0.07,3.85,0.20,0,0.00,87.18,0.87
230,空头进场,2023-06-21 15:02,①挂空,1929.83,1,1929.83,1.26,0.07,3.85,0.20,0,0.00,87.18,0.87
231,多头出场,2023-06-22 17:02,❌止损,1917.84,1,1934.66,-16.82,-0.87,3,0.16,-16.82,-0.87,70.36,0.70
231,多头进场,2023-06-21 20:02,①挂多,1934.66,1,1934.66,-16.82,-0.87,3,0.16,-16.82,-0.87,70.36,0.70
232,空头出场,2023-06-27 18:02,✅移动止盈,1917.2,1,1916.61,-0.59,-0.03,5.02,0.26,-0.59,-0.03,69.77,0.70
232,空头进场,2023-06-27 17:02,①挂空,1916.61,1,1916.61,-0.59,-0.03,5.02,0.26,-0.59,-0.03,69.77,0.70
233,空头出场,2023-06-29 07:02,✅移动止盈,1905.41,1,1902.85,-2.56,-0.13,0.05,0.00,-2.57,-0.14,67.21,0.67
233,空头进场,2023-06-29 06:02,①挂空,1902.85,1,1902.85,-2.56,-0.13,0.05,0.00,-2.57,-0.14,67.21,0.67
234,空头出场,2023-07-03 11:02,✅移动止盈,1911.63,1,1914.65,3.02,0.16,3.06,0.16,0,0.00,70.23,0.70
234,空头进场,2023-07-03 10:02,①挂空,1914.65,1,1914.65,3.02,0.16,3.06,0.16,0,0.00,70.23,0.70
235,空头出场,2023-07-06 16:02,✅移动止盈,1909.78,1,1910.12,0.34,0.02,7.46,0.39,0,0.00,70.57,0.71
235,空头进场,2023-07-06 15:02,①挂空,1910.12,1,1910.12,0.34,0.02,7.46,0.39,0,0.00,70.57,0.71
236,多头出场,2023-07-14 17:02,✅移动止盈,1951.66,1,1927.66,24,1.25,36.11,1.87,-14.98,-0.78,94.57,0.95
236,多头进场,2023-07-07 15:02,①挂多,1927.66,1,1927.66,24,1.25,36.11,1.87,-14.98,-0.78,94.57,0.95
