交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
80,多头出场,2025-10-31 01:02,✅移动止盈,4028.54,1,4012.02,16.52,0.41,34.19,0.85,-11.8,-0.29,312.45,0.03
80,多头进场,2025-10-30 19:02,①挂多,4012.02,1,4012.02,16.52,0.41,34.19,0.85,-11.8,-0.29,312.45,0.03
81,空头出场,2025-10-31 19:02,✅移动止盈,3983.68,1,3989.11,5.43,0.14,16.85,0.42,0,0.00,317.88,0.03
81,空头进场,2025-10-31 18:02,①挂空,3989.11,1,3989.11,5.43,0.14,16.85,0.42,0,0.00,317.88,0.03
82,空头出场,2025-11-03 02:02,✅移动止盈,3985.46,1,3989.11,3.65,0.09,11.33,0.28,0,0.00,321.53,0.03
82,空头进场,2025-11-03 01:02,①挂空,3989.11,1,3989.11,3.65,0.09,11.33,0.28,0,0.00,321.53,0.03
83,多头出场,2025-11-04 01:02,❌止损,3982.51,1,4028.01,-45.5,-1.13,2.66,0.07,-45.5,-1.13,276.03,0.03
83,多头进场,2025-11-03 16:02,①挂多,4028.01,1,4028.01,-45.5,-1.13,2.66,0.07,-45.5,-1.13,276.03,0.03
84,空头出场,2025-11-04 03:02,✅移动止盈,3990.85,1.4,5595.1,7.91,0.14,25.13,0.45,-3.67,-0.07,283.94,0.03
84,空头进场,2025-11-04 02:02,②⚡追空,3996.5,1.4,5595.1,7.91,0.14,25.13,0.45,-3.67,-0.07,283.94,0.03
85,空头出场,2025-11-04 16:02,✅移动止盈,3970.55,1,3975.84,5.29,0.13,6.13,0.15,0,0.00,289.23,0.03
85,空头进场,2025-11-04 15:02,①挂空,3975.84,1,3975.84,5.29,0.13,6.13,0.15,0,0.00,289.23,0.03
86,多头出场,2025-11-06 14:02,✅移动止盈,4003.29,1,3987.13,16.16,0.41,32.48,0.81,-22.57,-0.57,305.39,0.03
86,多头进场,2025-11-05 18:02,①挂多,3987.13,1,3987.13,16.16,0.41,32.48,0.81,-22.57,-0.57,305.39,0.03
87,多头出场,2025-11-11 07:02,✅移动止盈,4134.93,1,4105.98,28.95,0.71,43.04,1.05,0,0.00,334.34,0.03
87,多头进场,2025-11-10 20:02,①挂多,4105.98,1,4105.98,28.95,0.71,43.04,1.05,0,0.00,334.34,0.03
